x,y,v
Binary_Balanced_1,Binary_Balanced_2,1.0000000000000002
Binary_Balanced_1,Binary_Extreme_1a,-1.1211992763352211e-15
Binary_Balanced_1,Binary_Extreme_1b,-1.1211992763352211e-15
Binary_Balanced_1,Binary_Extreme_2,-1.1211992763352211e-15
Binary_Balanced_1,Trinary_Balanced_1,-9.610279511444752e-16
Binary_Balanced_1,Trinary_Balanced_2,-9.610279511444752e-16
Binary_Balanced_1,Trinary_Skewed_1a,7.207709633583565e-16
Binary_Balanced_1,Trinary_Skewed_1b,7.207709633583565e-16
Binary_Balanced_1,Trinary_Skewed_2,7.207709633583565e-16
Binary_Balanced_1,Trinary_Extreme_1a,0.08333333333333227
Binary_Balanced_1,Trinary_Extreme_1b,0.08333333333333227
Binary_Balanced_1,Trinary_Extreme_2,0.08333333333333227
Binary_Balanced_1,Quaternary_Balanced_1,1.0000000000000002
Binary_Balanced_1,Quaternary_Balanced_2,1.0000000000000002
Binary_Balanced_1,Quaternary_Skewed_1a,-1.201284938930594e-15
Binary_Balanced_1,Quaternary_Skewed_1b,-1.201284938930594e-15
Binary_Balanced_1,Quaternary_Skewed_2,-1.201284938930594e-15
Binary_Balanced_1,Quaternary_Extreme_1a,0.0
Binary_Balanced_1,Quaternary_Extreme_1b,0.0
Binary_Balanced_1,Quaternary_Extreme_2,0.0
Binary_Balanced_1,Continuous_Normal,0.0
Binary_Balanced_1,Continuous_Skewed,0.01719402627282629
Binary_Balanced_1,Continuous_Binary_Normal_1,0.6933555572960541
Binary_Balanced_1,Continuous_Binary_Normal_2,0.6933555572960541
Binary_Balanced_1,Continuous_Trinary_Normal,0.0
Binary_Balanced_1,Continuous_Quaternary_Normal,0.6933555572960541
Binary_Balanced_1,Continuous_Binary_Skewed,0.6933555572960541
Binary_Balanced_1,Continuous_Trinary_Skewed,0.0
Binary_Balanced_1,Continuous_Quaternary_Skewed,0.6933555572960541
Binary_Balanced_1,Unary_1,0.004275611098460974
Binary_Balanced_1,Unary_2,0.007659224974480017
Binary_Balanced_1,Correlated_1,0.0
Binary_Balanced_1,Correlated_2,0.0
Binary_Balanced_2,Binary_Extreme_1a,-1.1211992763352211e-15
Binary_Balanced_2,Binary_Extreme_1b,-1.1211992763352211e-15
Binary_Balanced_2,Binary_Extreme_2,-1.1211992763352211e-15
Binary_Balanced_2,Trinary_Balanced_1,-9.610279511444752e-16
Binary_Balanced_2,Trinary_Balanced_2,-9.610279511444752e-16
Binary_Balanced_2,Trinary_Skewed_1a,7.207709633583565e-16
Binary_Balanced_2,Trinary_Skewed_1b,7.207709633583565e-16
Binary_Balanced_2,Trinary_Skewed_2,7.207709633583565e-16
Binary_Balanced_2,Trinary_Extreme_1a,0.08333333333333227
Binary_Balanced_2,Trinary_Extreme_1b,0.08333333333333227
Binary_Balanced_2,Trinary_Extreme_2,0.08333333333333227
Binary_Balanced_2,Quaternary_Balanced_1,1.0000000000000002
Binary_Balanced_2,Quaternary_Balanced_2,1.0000000000000002
Binary_Balanced_2,Quaternary_Skewed_1a,-1.201284938930594e-15
Binary_Balanced_2,Quaternary_Skewed_1b,-1.201284938930594e-15
Binary_Balanced_2,Quaternary_Skewed_2,-1.201284938930594e-15
Binary_Balanced_2,Quaternary_Extreme_1a,0.0
Binary_Balanced_2,Quaternary_Extreme_1b,0.0
Binary_Balanced_2,Quaternary_Extreme_2,0.0
Binary_Balanced_2,Continuous_Normal,0.0
Binary_Balanced_2,Continuous_Skewed,0.01687292838922838
Binary_Balanced_2,Continuous_Binary_Normal_1,0.6933555572960541
Binary_Balanced_2,Continuous_Binary_Normal_2,0.6933555572960541
Binary_Balanced_2,Continuous_Trinary_Normal,0.0
Binary_Balanced_2,Continuous_Quaternary_Normal,0.6933555572960541
Binary_Balanced_2,Continuous_Binary_Skewed,0.6933555572960541
Binary_Balanced_2,Continuous_Trinary_Skewed,0.0
Binary_Balanced_2,Continuous_Quaternary_Skewed,0.6933555572960541
Binary_Balanced_2,Unary_1,0.004275611098460974
Binary_Balanced_2,Unary_2,0.007659224974480017
Binary_Balanced_2,Correlated_1,0.0
Binary_Balanced_2,Correlated_2,0.0
Binary_Extreme_1a,Binary_Extreme_1b,0.4138168503036342
Binary_Extreme_1a,Binary_Extreme_2,0.01094461229224711
Binary_Extreme_1a,Trinary_Balanced_1,3.2838581117462545e-06
Binary_Extreme_1a,Trinary_Balanced_2,3.2838581117462545e-06
Binary_Extreme_1a,Trinary_Skewed_1a,0.4138168503036342
Binary_Extreme_1a,Trinary_Skewed_1b,0.4138168503036342
Binary_Extreme_1a,Trinary_Skewed_2,0.036373099221899526
Binary_Extreme_1a,Trinary_Extreme_1a,0.41381685030363435
Binary_Extreme_1a,Trinary_Extreme_1b,0.41381685030363435
Binary_Extreme_1a,Trinary_Extreme_2,0.01094461229224727
Binary_Extreme_1a,Quaternary_Balanced_1,-1.281370601525967e-15
Binary_Extreme_1a,Quaternary_Balanced_2,-1.281370601525967e-15
