x,y,v
age,hospital_death,0.017275344031915107
h1_potassium_max,h1_glucose_max,1.284366154573858
h1_potassium_max,d1_sodium_min,0.06852631045079782
h1_potassium_max,d1_wbc_max,0.13233850298297511
h1_potassium_max,d1_wbc_min,0.15754023582929833
h1_potassium_max,h1_albumin_max,1.3136197570886279
h1_potassium_max,h1_albumin_min,1.3251143665029046
h1_potassium_max,h1_bilirubin_max,0.9435047180516687
h1_potassium_max,h1_bilirubin_min,0.9607968411812866
h1_potassium_max,h1_bun_max,1.4504886331728293
h1_potassium_max,h1_bun_min,1.4527288957646003
h1_potassium_max,h1_calcium_max,1.4652014006415999
h1_potassium_max,h1_calcium_min,1.45580834991733
h1_potassium_max,h1_creatinine_max,1.8431335058137077
h1_potassium_max,h1_creatinine_min,1.8551957388846558
h1_potassium_max,h1_glucose_min,1.355015399363205
h1_potassium_max,d1_potassium_min,0.15065920851189007
h1_potassium_max,h1_hco3_max,1.2115906517076964
h1_potassium_max,h1_hco3_min,1.1522197939879675
h1_potassium_max,h1_hemaglobin_max,1.6806544387161244
h1_potassium_max,h1_hemaglobin_min,1.6682068913069377
h1_potassium_max,h1_hematocrit_max,2.0650039677632837
h1_potassium_max,h1_hematocrit_min,1.9666642254420643
h1_potassium_max,h1_inr_max,0.6567009248227071
h1_potassium_max,h1_inr_min,0.6291930114798112
h1_potassium_max,h1_lactate_max,1.5011866006236678
h1_potassium_max,h1_lactate_min,1.430403862886247
h1_potassium_max,h1_platelets_max,2.178670073406066
h1_potassium_max,h1_platelets_min,2.1369990670515784
h1_potassium_min,hospital_death,0.007640945166374813
h1_potassium_max,d1_sodium_max,0.08175907307894992
h1_potassium_max,d1_potassium_max,0.1395893709235616
h1_potassium_min,bmi,0.02999838180887604
h1_potassium_max,d1_creatinine_max,0.049238785238272076
h1_potassium_max,h1_sysbp_min,0.04027965175407422
h1_potassium_max,h1_sysbp_noninvasive_max,0.054070675907677224
h1_potassium_max,h1_sysbp_noninvasive_min,0.0519546163812743
h1_potassium_max,h1_temp_max,0.1162530147578904
h1_potassium_max,h1_temp_min,0.11619777368565609
h1_potassium_max,d1_albumin_max,0.33264286186623426
h1_potassium_max,d1_albumin_min,0.35178342338869806
h1_potassium_max,d1_bilirubin_max,0.36548094409719933
h1_potassium_max,d1_bilirubin_min,0.3412705712328892
h1_potassium_max,d1_bun_max,0.12875377330183557
h1_potassium_max,d1_bun_min,0.08047203479988907
h1_potassium_max,d1_calcium_max,0.04892813756926451
h1_potassium_max,d1_calcium_min,0.08967712790404292
h1_potassium_max,d1_creatinine_min,0.0828060776984807
h1_potassium_max,d1_platelets_min,0.1341059633577517
h1_potassium_max,d1_glucose_max,0.08002029298174174
h1_potassium_max,d1_glucose_min,0.107956046490016
